id,user_id,user_name,game_id,type,title,viewer_count,started_at,language,thumbnail_url,tag_ids
36397556560,60056333,Tfue,33214,live,Solo Cash Cup Into Duo Scrims,23908,2019-12-11T23:05:30Z,en,https://static-cdn.jtvnw.net/previews-ttv/live_user_tfue-{width}x{height}.jpg,['6ea6bca4-4712-4ab9-a906-e3336a9d8039']
36396770928,71092938,xQcOW,509658,live,OKOKOK LETS GO~ NIC3EEEE,22159,2019-12-11T20:53:11Z,en,https://static-cdn.jtvnw.net/previews-ttv/live_user_xqcow-{width}x{height}.jpg,"['6ea6bca4-4712-4ab9-a906-e3336a9d8039', 'ff56eeeb-99ed-4a60-93fc-0b3f05d8661e', '1eba3cfe-51cc-460a-8259-bc8bb987f904']"
36396439152,47071880,YoDa,21779,live,FREE FIRE E AS AVENTURAS DO YODISMO NO GADO PARTE 2,16013,2019-12-11T19:34:53Z,pt,https://static-cdn.jtvnw.net/previews-ttv/live_user_yoda-{width}x{height}.jpg,['39ee8140-901a-4762-bfca-8260dea1310f']
36398391296,163836275,Lord_Kebun,32982,live,Mr.Chang War | NoPixel RP | Twitter @LordKebun,15424,2019-12-12T00:57:39Z,en,https://static-cdn.jtvnw.net/previews-ttv/live_user_lord_kebun-{width}x{height}.jpg,['6ea6bca4-4712-4ab9-a906-e3336a9d8039']
36397433728,26490481,summit1g,490377,live,NEW SOT UPDATE [ @summit1g ],14548,2019-12-11T22:49:26Z,en,https://static-cdn.jtvnw.net/previews-ttv/live_user_summit1g-{width}x{height}.jpg,['6ea6bca4-4712-4ab9-a906-e3336a9d8039']
36397077584,15564828,NICKMERCS,33214,live,NAW PC Platform Cup [Game 10/10] | @NICKMERCS On All Socials !Respawn,14509,2019-12-11T21:48:44Z,en,https://static-cdn.jtvnw.net/previews-ttv/live_user_nickmercs-{width}x{height}.jpg,['6ea6bca4-4712-4ab9-a906-e3336a9d8039']
36398047424,29795919,nl_Kripp,138585,live,KRIPP DRAGON DAY 2 | Knockout King Brann https://youtu.be/JEG1fvB78Go,12860,2019-12-12T00:14:10Z,en,https://static-cdn.jtvnw.net/previews-ttv/live_user_nl_kripp-{width}x{height}.jpg,['6ea6bca4-4712-4ab9-a906-e3336a9d8039']
36399126064,36473331,coscu,509658,live,SALE ARK TODA LA NIGHT?,11945,2019-12-12T02:23:14Z,es,https://static-cdn.jtvnw.net/previews-ttv/live_user_coscu-{width}x{height}.jpg,['d4bb9c58-2141-4881-bcdc-3fe0505457d1']
36397650240,121059319,MOONMOON,24193,live,L4D2 versus | BOOMER WEEK #41,11115,2019-12-11T23:19:24Z,en,https://static-cdn.jtvnw.net/previews-ttv/live_user_moonmoon-{width}x{height}.jpg,['6ea6bca4-4712-4ab9-a906-e3336a9d8039']
36397319424,94753024,Mizkif,509658,live,EMILYS LAST DAY | !merch | Twitter/Insta: @REALmizkif | !youtube for new video | !po for PO Box,10610,2019-12-11T22:31:02Z,en,https://static-cdn.jtvnw.net/previews-ttv/live_user_mizkif-{width}x{height}.jpg,['6ea6bca4-4712-4ab9-a906-e3336a9d8039']
36397763936,77208443,jukes,21779,live,Mec Stream do JUKERA! Live teste 02,9594,2019-12-11T23:35:59Z,pt,https://static-cdn.jtvnw.net/previews-ttv/live_user_jukes-{width}x{height}.jpg,['39ee8140-901a-4762-bfca-8260dea1310f']
36398352496,26946000,Nightblue3,21779,live,NEW CHAMP SETT JUNGLE | GOODER JUNGLE ALWAYS WIN :),9173,2019-12-12T00:53:15Z,en,https://static-cdn.jtvnw.net/previews-ttv/live_user_nightblue3-{width}x{height}.jpg,['6ea6bca4-4712-4ab9-a906-e3336a9d8039']
36396684160,32140000,SypherPK,33214,live,❄️CASH CUP NAW ❄️!Winners !RESPAWN !MVMT,8650,2019-12-11T20:34:04Z,en,https://static-cdn.jtvnw.net/previews-ttv/live_user_sypherpk-{width}x{height}.jpg,['6ea6bca4-4712-4ab9-a906-e3336a9d8039']
36399297344,92653727,X33N,27471,live,RLCraft Grinding then Public SMP x33n.craftadia.com #Affiliated,7244,2019-12-12T02:44:29Z,en,https://static-cdn.jtvnw.net/previews-ttv/live_user_x33n-{width}x{height}.jpg,['6ea6bca4-4712-4ab9-a906-e3336a9d8039']
36398944144,66375105,침착맨,138585,live,"김풍 주호민 작가님을 기다리며,,, 전장의 외로운 야수,,, +7800",6471,2019-12-12T02:01:57Z,ko,https://static-cdn.jtvnw.net/previews-ttv/live_user_zilioner-{width}x{height}.jpg,['ab2975e3-b9ca-4b1a-a93e-fb61a5d5c3a4']
36399394672,26707340,adolfz,512804,live,SBC Pack Icon hoje? Packs da loja? Time novo? Bora decidir tudo junto,6427,2019-12-12T02:57:19Z,pt,https://static-cdn.jtvnw.net/previews-ttv/live_user_adolfz-{width}x{height}.jpg,['39ee8140-901a-4762-bfca-8260dea1310f']
